"Gene","logFC","AveExpr","t","PValue","FDR","B","Test"
"PINLYP",-0.0945775581116389,3.25454250238042,-0.218278585349156,0.827231758860398,0.997173487616043,-5.18074250714463,"Old_vs_Young_Main_Effect"
"DUS2",0.150703002271966,3.71446281022495,0.459447638763022,0.645956918725534,0.997173487616043,-5.18077164906131,"Old_vs_Young_Main_Effect"
"TMED4",0.196793813309643,6.00347787909591,0.712140486175567,0.476451266952699,0.997173487616043,-5.1808013143526,"Old_vs_Young_Main_Effect"
"VSIR",0.247117824141303,5.46913920892023,0.605364223550031,0.544997777728184,0.997173487616043,-5.18083189570822,"Old_vs_Young_Main_Effect"
"GCLC",-0.169704921195564,4.58396507695437,-0.421963598784938,0.67309170771884,0.997173487616043,-5.18084980585474,"Old_vs_Young_Main_Effect"
"ASNS",-0.175522109632242,3.79582138337138,-0.50525587772954,0.613428378387376,0.997173487616043,-5.18093320908248,"Old_vs_Young_Main_Effect"
"SH3BGR",-0.149301081770764,3.00116574964882,-0.349326325177142,0.726876870458623,0.997173487616043,-5.18095419776751,"Old_vs_Young_Main_Effect"
"ZNF101",-0.0896561848461825,3.59161940346999,-0.245440918852294,0.806137326368444,0.997173487616043,-5.18101483845708,"Old_vs_Young_Main_Effect"
"HSD17B4",-0.185851306203398,5.61579083484607,-0.678698105448236,0.497398633132611,0.997173487616043,-5.18111506521883,"Old_vs_Young_Main_Effect"
"SLC29A2",-0.17739589270704,3.00881617919071,-0.422818737487189,0.672467727519229,0.997173487616043,-5.18112699741937,"Old_vs_Young_Main_Effect"
"DPY19L1",-0.188134348592993,4.06981545668951,-0.587931247518443,0.556637161840563,0.997173487616043,-5.18121760391805,"Old_vs_Young_Main_Effect"
"ZNF557",0.13461504361643,3.75533577141286,0.408897631005174,0.682653517147362,0.997173487616043,-5.18131076909131,"Old_vs_Young_Main_Effect"
"LINC03040",0.157832751151104,2.40491636781898,0.281799110652782,0.778123344271567,0.997173487616043,-5.18135239085201,"Old_vs_Young_Main_Effect"
"CD2AP",-0.180186995590755,5.39824074831778,-0.649076718030526,0.516354719248746,0.997173487616043,-5.18136364290555,"Old_vs_Young_Main_Effect"
"MIGA2",0.0621040455524802,3.57659924457388,0.159518922459476,0.87327430049669,0.997173487616043,-5.18140548169071,"Old_vs_Young_Main_Effect"
"PRTFDC1",0.0130856121418523,2.74702894345656,0.0264062843756357,0.978935612207202,0.99780411384501,-5.18142262869942,"Old_vs_Young_Main_Effect"
"HPN",-0.252899524098112,2.60949172432211,-0.47369511320427,0.635763077027483,0.997173487616043,-5.18147136773892,"Old_vs_Young_Main_Effect"
"DPH1",-0.147478601525889,3.35225151210423,-0.356156310709885,0.721756740116507,0.997173487616043,-5.18148010267696,"Old_vs_Young_Main_Effect"
"EID1",0.251833495985308,7.41581867231454,0.759161495094389,0.447835099271367,0.997173487616043,-5.18149675283802,"Old_vs_Young_Main_Effect"
"ANKH",-0.190013508888183,4.53297939901614,-0.524242658417269,0.600161165792113,0.997173487616043,-5.18154120550972,"Old_vs_Young_Main_Effect"
"FAM98C",0.138340961281727,4.56233570428803,0.472629925566323,0.636522849435169,0.997173487616043,-5.18155257403147,"Old_vs_Young_Main_Effect"
"TMEM86B",0.0753079584932603,2.85932350550875,0.164394087016939,0.869435613876456,0.997173487616043,-5.18161381555719,"Old_vs_Young_Main_Effect"
"BEX5",0.151207341437863,3.7056893852293,0.338905912038186,0.734712084332423,0.997173487616043,-5.18164152180971,"Old_vs_Young_Main_Effect"
"MIR193BHG",-0.122849194357447,2.16796433245429,-0.227689073790864,0.819908555854845,0.997173487616043,-5.18166293697588,"Old_vs_Young_Main_Effect"
"ARMH3",-0.116336132772736,4.14641904047861,-0.314910680015167,0.752858533287485,0.997173487616043,-5.18167237917168,"Old_vs_Young_Main_Effect"
"ZNF791",0.165237420505248,5.22655556255131,0.581868033225444,0.56071358783098,0.997173487616043,-5.18180278160387,"Old_vs_Young_Main_Effect"
"DECR1",0.21198999463336,6.18435827732968,0.678176395453233,0.497729260848549,0.997173487616043,-5.18184715091044,"Old_vs_Young_Main_Effect"
"HIRA",0.149877695302134,3.62078905075871,0.448807651699049,0.653613432248564,0.997173487616043,-5.18189411342219,"Old_vs_Young_Main_Effect"
"CTPS2",-0.152851429420139,3.73767234464921,-0.464822353441009,0.642103441001834,0.997173487616043,-5.18190297962522,"Old_vs_Young_Main_Effect"
"MAP4K5",0.17438255654809,5.3913330325001,0.583936628510356,0.559321203279262,0.997173487616043,-5.18197798802691,"Old_vs_Young_Main_Effect"
"ELF1",0.227520932667873,6.70095875434512,0.665214878805201,0.505980918911191,0.997173487616043,-5.18204610595834,"Old_vs_Young_Main_Effect"
"KDM3A",0.157229230303687,4.60224914078573,0.536336083929336,0.591779063161128,0.997173487616043,-5.18214713417891,"Old_vs_Young_Main_Effect"
"PRDX5",0.262560850120851,7.66955356223397,0.772102836029956,0.440134222774179,0.997173487616043,-5.18215635938799,"Old_vs_Young_Main_Effect"
"CNTN3",0.0485184897640564,2.52792801921773,0.0837042066633835,0.933299023016748,0.997173487616043,-5.18218865377958,"Old_vs_Young_Main_Effect"
"C2CD3",-0.143446428955565,4.05418281280035,-0.462658306565418,0.643653833221617,0.997173487616043,-5.18222051966311,"Old_vs_Young_Main_Effect"
"LIG1",-0.124056630597379,4.0004664413734,-0.383983937709359,0.701026461680805,0.997173487616043,-5.18228029575348,"Old_vs_Young_Main_Effect"
"IQCC",0.0308625690473736,2.63398689528761,0.0643793813225624,0.948673838910221,0.997173487616043,-5.1823097233208,"Old_vs_Young_Main_Effect"
"DNAJB13",-0.0949884070555123,2.62606328889872,-0.165990417354536,0.86817933355744,0.997173487616043,-5.18232408512123,"Old_vs_Young_Main_Effect"
"FN1",-0.324430857772729,5.22053715013288,-0.673285293268839,0.500834625630333,0.997173487616043,-5.18239166581528,"Old_vs_Young_Main_Effect"
"ZNF585B",-0.107184757706417,3.29702139623613,-0.289681656878996,0.772086354155594,0.997173487616043,-5.18242577389742,"Old_vs_Young_Main_Effect"
"CD93",0.126323888294452,4.08118016721484,0.225709523587511,0.821447751853491,0.997173487616043,-5.18252551618861,"Old_vs_Young_Main_Effect"
"FRMD5",0.0966613821070897,2.18778942106728,0.156422625574111,0.875713870239972,0.997173487616043,-5.18255510349148,"Old_vs_Young_Main_Effect"
"LILRB3",0.0911298806979534,3.43945351623543,0.17135808134731,0.863957548661596,0.997173487616043,-5.18258877656971,"Old_vs_Young_Main_Effect"
"AGBL5",0.167448169247338,4.01317247016686,0.476633707654002,0.633669038996458,0.997173487616043,-5.18260471255489,"Old_vs_Young_Main_Effect"
"DRAIC",-0.061892172442006,2.72560251540639,-0.109647192217972,0.912698913572533,0.997173487616043,-5.18261133125625,"Old_vs_Young_Main_Effect"
"PRX",0.167946367060805,3.1749150357519,0.337603608894569,0.735693264040867,0.997173487616043,-5.18268481053613,"Old_vs_Young_Main_Effect"
"RXYLT1",0.0849381869425695,4.37307625032785,0.23174043509083,0.816760596022612,0.997173487616043,-5.18272448681268,"Old_vs_Young_Main_Effect"
"ADCK2",0.155794674689523,3.82770589231969,0.497479893473553,0.618899057396775,0.997173487616043,-5.18275034893878,"Old_vs_Young_Main_Effect"
"PJVK",-0.0114005567102838,2.67165103281239,-0.0240433014444003,0.980820190961943,0.99780411384501,-5.18275731606167,"Old_vs_Young_Main_Effect"
"ARHGEF1",0.191873427917085,5.55497690048526,0.667689020449543,0.504400269247785,0.997173487616043,-5.18282099825789,"Old_vs_Young_Main_Effect"
"FAXC",-0.188058468052158,2.7024817815021,-0.408510785017867,0.682937402733014,0.997173487616043,-5.18286297970581,"Old_vs_Young_Main_Effect"
"SPART",0.175261449627232,4.9559472116682,0.48377456361735,0.62859272218198,0.997173487616043,-5.18287085279182,"Old_vs_Young_Main_Effect"
"RHOF",0.238203614546236,4.36512195951908,0.698018627283029,0.485237328626519,0.997173487616043,-5.18287415120007,"Old_vs_Young_Main_Effect"
"NPEPL1",-0.166412089593811,4.37025037052131,-0.5763621914628,0.564427768135023,0.997173487616043,-5.18288053528618,"Old_vs_Young_Main_Effect"
"VEGFA",-0.298727251610354,4.99828531225487,-0.758347834235603,0.448321823022258,0.997173487616043,-5.182896246884,"Old_vs_Young_Main_Effect"
"ZNF507",0.165064101277928,3.88641185041208,0.492508672105117,0.622407617163596,0.997173487616043,-5.18293235100811,"Old_vs_Young_Main_Effect"
"SLC27A6",0.198724835843512,2.00027847427557,0.331339020507206,0.740419129042337,0.997173487616043,-5.18298303830353,"Old_vs_Young_Main_Effect"
"CAT",-0.21992506188564,6.09405938802526,-0.729465846753199,0.465792318471841,0.997173487616043,-5.18298968542459,"Old_vs_Young_Main_Effect"
"MACROH2A2",-0.145797334876874,3.54034111256078,-0.332572128636001,0.739488118196647,0.997173487616043,-5.18300728616935,"Old_vs_Young_Main_Effect"
"BCAR3",-0.194166429514885,4.16941976026013,-0.512570964551829,0.608301540746976,0.997173487616043,-5.18304203490254,"Old_vs_Young_Main_Effect"
"ENSG00000227486",-0.034237552562973,3.33754190149563,-0.0799950364640128,0.936248283709304,0.997173487616043,-5.1830524774586,"Old_vs_Young_Main_Effect"
"SMTNL2",-0.0972080015936545,2.02505712268012,-0.162758760103248,0.87072292575439,0.997173487616043,-5.18308793484606,"Old_vs_Young_Main_Effect"
"LINC01355",0.158634359069367,2.90544868737673,0.363199283198576,0.71648997808483,0.997173487616043,-5.18309610133379,"Old_vs_Young_Main_Effect"
"UBE2R2",-0.161651308229738,5.51175313691043,-0.580908125840718,0.561360277595645,0.997173487616043,-5.18313702349837,"Old_vs_Young_Main_Effect"
"PIGS",-0.150676115552632,4.48711383260205,-0.409040863903039,0.682548417574906,0.997173487616043,-5.18314487303304,"Old_vs_Young_Main_Effect"
"ATP6V1A",0.16899120730188,5.37301062440625,0.597814906300668,0.55002331881537,0.997173487616043,-5.18321793194467,"Old_vs_Young_Main_Effect"
"EXOC5",0.167331464486202,5.08575148666342,0.605713031594636,0.544766130630491,0.997173487616043,-5.18329487451313,"Old_vs_Young_Main_Effect"
"CDA",-0.0326488547600163,2.98443174926333,-0.0546048154300623,0.956458127020059,0.997173487616043,-5.18331493257453,"Old_vs_Young_Main_Effect"
"SLC35G2",-0.0554778295870674,3.43534447447927,-0.108327701556278,0.91374536207466,0.997173487616043,-5.18333488880814,"Old_vs_Young_Main_Effect"
"EDN2",-0.116789919647285,2.31724878249459,-0.178090064892449,0.858668199701348,0.997173487616043,-5.18335458717159,"Old_vs_Young_Main_Effect"
"TBC1D10C",-0.0891988744627219,3.77343755803991,-0.164264237432933,0.869537817473432,0.997173487616043,-5.18335551409105,"Old_vs_Young_Main_Effect"
"KCNT2",0.285793467720305,2.51153847414265,0.518036701919553,0.604483351679182,0.997173487616043,-5.18340513547784,"Old_vs_Young_Main_Effect"
"PSD",-0.0700951189724503,2.45365413579925,-0.13818691807636,0.890105000091528,0.997173487616043,-5.18341121729968,"Old_vs_Young_Main_Effect"
"IFFO2",0.00444561148156919,3.68564737786649,0.010998032503528,0.991225986929235,0.999227443728181,-5.18347590111794,"Old_vs_Young_Main_Effect"
"CDC42BPA",0.217586670551571,5.04640408538461,0.620107728240159,0.535249360761207,0.997173487616043,-5.18351642023209,"Old_vs_Young_Main_Effect"
"SACS",-0.0201043387393258,3.73324370032321,-0.0494385766381093,0.960574153078048,0.997173487616043,-5.18367649257433,"Old_vs_Young_Main_Effect"
"TOB2",0.177609039656083,5.31876321388812,0.603446869661516,0.546271985921061,0.997173487616043,-5.18370566703438,"Old_vs_Young_Main_Effect"
"SORL1",0.169898188558042,4.83309671014769,0.385264588416216,0.700077637614398,0.997173487616043,-5.18382518634488,"Old_vs_Young_Main_Effect"
"CNEP1R1",0.140602208157113,3.92345450961272,0.461173738240581,0.644718324142823,0.997173487616043,-5.1838666197473,"Old_vs_Young_Main_Effect"
"COPS3",0.166391171107764,5.41749977088291,0.609609615799992,0.542181699885287,0.997173487616043,-5.18387037802848,"Old_vs_Young_Main_Effect"
"SCIMP",0.100252613708854,3.44077478945351,0.178570721293541,0.858290785619924,0.997173487616043,-5.18388322893955,"Old_vs_Young_Main_Effect"
"PIAS1",-0.208430588663992,5.96247377495928,-0.680425662613407,0.496304649604117,0.997173487616043,-5.18389237312633,"Old_vs_Young_Main_Effect"
"TBK1",0.153058812423938,5.05100618097999,0.559291186327119,0.576018408155574,0.997173487616043,-5.18398066145347,"Old_vs_Young_Main_Effect"
"NBEAL1",-0.219841382947585,6.52811659141489,-0.695331757499006,0.486918877527126,0.997173487616043,-5.18404218036204,"Old_vs_Young_Main_Effect"
"EEF1E1",-0.121694603379248,4.70048989972436,-0.291053986788074,0.771036728735392,0.997173487616043,-5.1840471630262,"Old_vs_Young_Main_Effect"
"GPSM1",-0.167513373531013,2.83685294117483,-0.361054954171872,0.718092100839031,0.997173487616043,-5.18410753242854,"Old_vs_Young_Main_Effect"
"SLC11A1",-0.217183567093005,4.47759734058219,-0.477007646062178,0.633402781034879,0.997173487616043,-5.18414629648156,"Old_vs_Young_Main_Effect"
"MT1A",0.0123609209006745,3.27307934379063,0.0172902547554678,0.986206585687744,0.99893329368336,-5.18414804952008,"Old_vs_Young_Main_Effect"
"FIGNL1",0.0252658963062091,3.27114700710442,0.0645826115937596,0.948512039408435,0.997173487616043,-5.18418353050241,"Old_vs_Young_Main_Effect"
"LINC01094",-0.0803848832845523,2.60499331717303,-0.148111718459868,0.882267809633916,0.997173487616043,-5.18425975954055,"Old_vs_Young_Main_Effect"
"P2RY2",0.174232585422587,2.8876667135254,0.368805379411749,0.712307327930984,0.997173487616043,-5.18427182817814,"Old_vs_Young_Main_Effect"
"CNTN4",-0.253202050709487,2.9243863693138,-0.473516017534232,0.635890794814607,0.997173487616043,-5.18437137724611,"Old_vs_Young_Main_Effect"
"NUP42",0.142286829582756,4.61835352313099,0.472519317683042,0.636601765291134,0.997173487616043,-5.18438798800852,"Old_vs_Young_Main_Effect"
"FOXK1",-0.163304154763117,4.58718998124922,-0.539131085230081,0.589849493503342,0.997173487616043,-5.18445959530693,"Old_vs_Young_Main_Effect"
"FGF18",-0.152617097832711,2.50304074102308,-0.280953845908817,0.778771508917186,0.997173487616043,-5.18448507074553,"Old_vs_Young_Main_Effect"
"ENSG00000267383",0.0635495697757201,2.94629997606355,0.124027510120499,0.901304518861699,0.997173487616043,-5.18449950695976,"Old_vs_Young_Main_Effect"
"RBM27",0.149362448865442,4.45507858989306,0.489081797432282,0.624831230477995,0.997173487616043,-5.18453670511685,"Old_vs_Young_Main_Effect"
"RMI1",-0.120152291999317,3.73712113496849,-0.328513003792455,0.74255423787291,0.997173487616043,-5.18454125237246,"Old_vs_Young_Main_Effect"
"ABAT",0.12911543029622,3.61436308076621,0.342571125265623,0.731952973321954,0.997173487616043,-5.18456520934434,"Old_vs_Young_Main_Effect"
"GRHL1",-0.0486700938037591,3.50131114762671,-0.104637023832811,0.916673116939976,0.997173487616043,-5.18469448188904,"Old_vs_Young_Main_Effect"
"DBF4B",0.102252489242918,3.02793822667369,0.244286387977749,0.807031191960236,0.997173487616043,-5.18470594921752,"Old_vs_Young_Main_Effect"
"XPO4",0.175522285221385,4.58132292700616,0.596616022641472,0.550823506401824,0.997173487616043,-5.18471506618681,"Old_vs_Young_Main_Effect"
"CSF1",-0.181316205717552,3.99909673531801,-0.375903832250328,0.707023659708604,0.997173487616043,-5.18473962677154,"Old_vs_Young_Main_Effect"
"PELO",0.134256533800679,4.35510034646087,0.352068251906006,0.724819890576475,0.997173487616043,-5.18478070076956,"Old_vs_Young_Main_Effect"
"HRH1",0.172187042694976,3.50998704240826,0.34682066085315,0.728758332180993,0.997173487616043,-5.1848119072136,"Old_vs_Young_Main_Effect"
"HARBI1",0.00160920813744376,2.97988425796759,0.00377569929177435,0.99698776810138,0.999337841455998,-5.18482515248393,"Old_vs_Young_Main_Effect"
"DMPK",-0.176689540680462,3.65044891257525,-0.473049102126659,0.636223815292023,0.997173487616043,-5.18487798046939,"Old_vs_Young_Main_Effect"
"EPHX3",-0.196920997133525,2.70759173149673,-0.422331555458204,0.67282318834419,0.997173487616043,-5.18496904863694,"Old_vs_Young_Main_Effect"
"GNG2",-0.0212640322320827,3.90451213279017,-0.0400407320204198,0.968064188295003,0.997173487616043,-5.18497318292736,"Old_vs_Young_Main_Effect"
