"User ID","Value","Gene Name","Species"
"HEXA","","hexosaminidase subunit alpha(HEXA)","Homo sapiens"
"HEXIM1","","HEXIM P-TEFb complex subunit 1(HEXIM1)","Homo sapiens"
"HIF1A","","hypoxia inducible factor 1 subunit alpha(HIF1A)","Homo sapiens"
"HIGD1B","","HIG1 hypoxia inducible domain family member 1B(HIGD1B)","Homo sapiens"
"HINT1","","histidine triad nucleotide binding protein 1(HINT1)","Homo sapiens"
"HMBS","","hydroxymethylbilane synthase(HMBS)","Homo sapiens"
"HMOX1","","heme oxygenase 1(HMOX1)","Homo sapiens"
"HNRNPDL","","heterogeneous nuclear ribonucleoprotein D like(HNRNPDL)","Homo sapiens"
"HNRNPLL","","heterogeneous nuclear ribonucleoprotein L like(HNRNPLL)","Homo sapiens"
"HSF1","","heat shock transcription factor 1(HSF1)","Homo sapiens"
"HSPA14","","heat shock protein family A (Hsp70) member 14(HSPA14)","Homo sapiens"
"HSPA6","","heat shock protein family A (Hsp70) member 6(HSPA6)","Homo sapiens"
"HSPB6","","heat shock protein family B (small) member 6(HSPB6)","Homo sapiens"
"HSPD1","","heat shock protein family D (Hsp60) member 1(HSPD1)","Homo sapiens"
"HTRA2","","HtrA serine peptidase 2(HTRA2)","Homo sapiens"
"ICAM4","","intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)(ICAM4)","Homo sapiens"
"IER5L","","immediate early response 5 like(IER5L)","Homo sapiens"
"IFITM2","","interferon induced transmembrane protein 2(IFITM2)","Homo sapiens"
"IFT57","","intraflagellar transport 57(IFT57)","Homo sapiens"
"IGBP1","","immunoglobulin binding protein 1(IGBP1)","Homo sapiens"
"IGF2BP3","","insulin like growth factor 2 mRNA binding protein 3(IGF2BP3)","Homo sapiens"
"IGFBP6","","insulin like growth factor binding protein 6(IGFBP6)","Homo sapiens"
"IKZF4","","IKAROS family zinc finger 4(IKZF4)","Homo sapiens"
"IL12RB2","","interleukin 12 receptor subunit beta 2(IL12RB2)","Homo sapiens"
"IL1B","","interleukin 1 beta(IL1B)","Homo sapiens"
"IL1RL1","","interleukin 1 receptor like 1(IL1RL1)","Homo sapiens"
"IL2RG","","interleukin 2 receptor subunit gamma(IL2RG)","Homo sapiens"
"IL6","","interleukin 6(IL6)","Homo sapiens"
"INAFM1","","InaF motif containing 1(INAFM1)","Homo sapiens"
"INPP4B","","inositol polyphosphate-4-phosphatase type II B(INPP4B)","Homo sapiens"
"INTS10","","integrator complex subunit 10(INTS10)","Homo sapiens"
"INTU","","inturned planar cell polarity protein(INTU)","Homo sapiens"
"IP6K1","","inositol hexakisphosphate kinase 1(IP6K1)","Homo sapiens"
"IQCK","","IQ motif containing K(IQCK)","Homo sapiens"
"ITPR1","","inositol 1,4,5-trisphosphate receptor type 1(ITPR1)","Homo sapiens"
"KANSL1","","KAT8 regulatory NSL complex subunit 1(KANSL1)","Homo sapiens"
"KCNJ6","","potassium inwardly rectifying channel subfamily J member 6(KCNJ6)","Homo sapiens"
"KCNMB4","","potassium calcium-activated channel subfamily M regulatory beta subunit 4(KCNMB4)","Homo sapiens"
"KIF5C","","kinesin family member 5C(KIF5C)","Homo sapiens"
"KLF2","","KLF transcription factor 2(KLF2)","Homo sapiens"
"KLHL5","","kelch like family member 5(KLHL5)","Homo sapiens"
"KLRK1","","killer cell lectin like receptor K1(KLRK1)","Homo sapiens"
"KRT5","","keratin 5(KRT5)","Homo sapiens"
"KXD1","","KxDL motif containing 1(KXD1)","Homo sapiens"
"KYNU","","kynureninase(KYNU)","Homo sapiens"
"L3MBTL2","","L3MBTL histone methyl-lysine binding protein 2(L3MBTL2)","Homo sapiens"
"LAIR1","","leukocyte associated immunoglobulin like receptor 1(LAIR1)","Homo sapiens"
"LARP4B","","La ribonucleoprotein 4B(LARP4B)","Homo sapiens"
"LDB3","","LIM domain binding 3(LDB3)","Homo sapiens"
"LINC00526","","long intergenic non-protein coding RNA 526(LINC00526)","Homo sapiens"
"LINC00847","","long intergenic non-protein coding RNA 847(LINC00847)","Homo sapiens"
"LINC01138","","long intergenic non-protein coding RNA 1138(LINC01138)","Homo sapiens"
"LINC01410","","long intergenic non-protein coding RNA 1410(LINC01410)","Homo sapiens"
"LINC01436","","long intergenic non-protein coding RNA 1436(LINC01436)","Homo sapiens"
"LINC01473","","long intergenic non-protein coding RNA 1473(LINC01473)","Homo sapiens"
"LINC02762","","long intergenic non-protein coding RNA 2762(LINC02762)","Homo sapiens"
"LLPH","","LLP homolog, long-term synaptic facilitation factor(LLPH)","Homo sapiens"
"LMNB1","","lamin B1(LMNB1)","Homo sapiens"
"LPIN2","","lipin 2(LPIN2)","Homo sapiens"
"LRCH1","","leucine rich repeats and calponin homology domain containing 1(LRCH1)","Homo sapiens"
"LRP1","","LDL receptor related protein 1(LRP1)","Homo sapiens"
"LRRC57","","leucine rich repeat containing 57(LRRC57)","Homo sapiens"
"LRRCC1","","leucine rich repeat and coiled-coil centrosomal protein 1(LRRCC1)","Homo sapiens"
"LURAP1","","leucine rich adaptor protein 1(LURAP1)","Homo sapiens"
"LYZ","","lysozyme(LYZ)","Homo sapiens"
"MACROH2A2","","macroH2A.2 histone(MACROH2A2)","Homo sapiens"
"MALL.1","","",""
"MAP1LC3B2","","microtubule associated protein 1 light chain 3 beta 2(MAP1LC3B2)","Homo sapiens"
"MAP2K2","","mitogen-activated protein kinase kinase 2(MAP2K2)","Homo sapiens"
"MAP3K20","","mitogen-activated protein kinase kinase kinase 20(MAP3K20)","Homo sapiens"
"MARCHF3","","membrane associated ring-CH-type finger 3(MARCHF3)","Homo sapiens"
"MARCO","","macrophage receptor with collagenous structure(MARCO)","Homo sapiens"
"MCEMP1","","mast cell expressed membrane protein 1(MCEMP1)","Homo sapiens"
"MEA1","","male-enhanced antigen 1(MEA1)","Homo sapiens"
"MED21","","mediator complex subunit 21(MED21)","Homo sapiens"
"MEDAG","","mesenteric estrogen dependent adipogenesis(MEDAG)","Homo sapiens"
"MEMO1","","mediator of cell motility 1(MEMO1)","Homo sapiens"
"MIA2","","MIA SH3 domain ER export factor 2(MIA2)","Homo sapiens"
"MINDY2","","MINDY lysine 48 deubiquitinase 2(MINDY2)","Homo sapiens"
"MIR4485","","microRNA 4485(MIR4485)","Homo sapiens"
"MMAA","","metabolism of cobalamin associated A(MMAA)","Homo sapiens"
"MMP16","","matrix metallopeptidase 16(MMP16)","Homo sapiens"
"MPP7","","MAGUK p55 scaffold protein 7(MPP7)","Homo sapiens"
"MPV17L2","","MPV17 mitochondrial inner membrane protein like 2(MPV17L2)","Homo sapiens"
"MRGPRF","","MAS related GPR family member F(MRGPRF)","Homo sapiens"
"MRPL18","","mitochondrial ribosomal protein L18(MRPL18)","Homo sapiens"
"MT","","",""
"MT1A","","metallothionein 1A(MT1A)","Homo sapiens"
"MT1E","","metallothionein 1E(MT1E)","Homo sapiens"
"MT1G","","metallothionein 1G(MT1G)","Homo sapiens"
"MTCH2","","mitochondrial carrier 2(MTCH2)","Homo sapiens"
"MTERF1","","mitochondrial transcription termination factor 1(MTERF1)","Homo sapiens"
"MXD1","","MAX dimerization protein 1(MXD1)","Homo sapiens"
"MYADM","","myeloid associated differentiation marker(MYADM)","Homo sapiens"
"MYLK","","myosin light chain kinase(MYLK)","Homo sapiens"
"MYO10","","myosin X(MYO10)","Homo sapiens"
"NAA10","","N-alpha-acetyltransferase 10, NatA catalytic subunit(NAA10)","Homo sapiens"
"NDUFV1","","NADH:ubiquinone oxidoreductase core subunit V1(NDUFV1)","Homo sapiens"
"NEGR1","","neuronal growth regulator 1(NEGR1)","Homo sapiens"
"NELL1","","neural EGFL like 1(NELL1)","Homo sapiens"
"NFX1","","nuclear transcription factor, X-box binding 1(NFX1)","Homo sapiens"
"NIPSNAP2","","nipsnap homolog 2(NIPSNAP2)","Homo sapiens"
"NIPSNAP3B","","nipsnap homolog 3B(NIPSNAP3B)","Homo sapiens"
"NME2","","NME/NM23 nucleoside diphosphate kinase 2(NME2)","Homo sapiens"
